(21446, 15790, 15346, 20637, False)
(6153, 7414, 9297, 11004, False)
(18773, 20512, 20141, 18815, False)
(18273, 18572, 19000, 16373, False)
(15378, 8108, 6980, 17250, False)
(18343, 16277, 16834, 17700, False)
(9996, 7631, 6508, 8360, False)
(20837, 14362, 17741, 20317, False)
(19960, 13919, 15644, 15568, False)
(16004, 16604, 17455, 20691, False)
(15598, 12661, 13582, 10802, False)
(18347, 18222, 17664, 18307, False)
(20439, 19863, 17300, 19576, False)
(1624, 2276, 3185, 1660, False)
(19881, 17301, 20177, 19496, False)
(11137, 11942, 10150, 5786, False)
(19047, 17611, 3557, 12340, False)
(16678, 15635, 16624, 17651, False)
(20687, 20568, 22243, 22263, False)
(0, 1311, 1583, 1952, False)
(17451, 6838, 9277, 16171, False)
(12641, 16070, 5466, 12700, False)
(12367, 12231, 19361, 17522, False)
(7204, 8118, 7990, 6191, False)
(6006, 9632, 18411, 14166, False)
(6585, 12189, 14339, 8600, False)
(15589, 18614, 18353, 18936, False)
(8629, 10616, 19691, 7996, False)
(15960, 11569, 12719, 12516, False)
(19287, 22117, 17713, 20167, False)
(16054, 11328, 10683, 12895, False)
(16251, 17034, 18973, 16394, False)
(19005, 17558, 19341, 16611, False)
(18273, 20911, 17930, 21132, False)
(20148, 21437, 19389, 18721, False)
(5664, 7484, 17365, 8689, False)
(19177, 19019, 13266, 18529, False)
(17756, 9936, 16337, 19087, False)
(14693, 11581, 4009, 17543, False)
(11302, 17346, 16261, 18412, False)
(19681, 19356, 18544, 17414, False)
(6591, 0, 10112, 16457, False)
(6358, 11853, 8084, 9530, False)
(17155, 19889, 18752, 16936, False)
(21094, 21490, 18440, 19017, False)
(21284, 12786, 9260, 14708, False)
(18258, 17724, 18223, 17811, False)
(19431, 19095, 19065, 18788, False)
(18261, 13917, 15531, 20698, False)
(14119, 12135, 13007, 9072, False)
(7479, 7363, 13201, 6131, False)
(8010, 14189, 15471, 8248, False)
(10463, 22339, 17963, 7714, False)
(17423, 17117, 17167, 19452, False)
(10200, 12550, 3006, 4434, False)
(20870, 17140, 10738, 11729, False)
(12717, 18447, 18902, 15962, False)
(11890, 12497, 16130, 6646, False)
(13492, 16407, 17256, 17793, False)
(18047, 7081, 7437, 11094, False)
(6390, 5986, 12310, 13606, False)
(14881, 7885, 7595, 12434, False)
(18466, 18740, 13087, 11610, False)
(15423, 16559, 16494, 22055, False)
(8950, 8179, 10800, 22386, False)
(20145, 17981, 3802, 15330, False)
(17489, 11507, 7129, 10067, False)
(18956, 17809, 18892, 16437, False)
(8157, 8237, 5876, 6072, False)
(9603, 17797, 15227, 12093, False)
(18548, 20454, 19167, 17736, False)
(0, 1152, 1905, 3800, False)
(11939, 18414, 17289, 17820, False)
(19821, 20721, 12705, 16981, False)
(13940, 17560, 21453, 13870, False)
(9401, 6059, 7443, 10545, False)
(17709, 18209, 18230, 17628, False)
(15969, 12841, 14512, 18326, False)
(11535, 5923, 10226, 9922, False)
(17295, 14743, 7579, 13272, False)
(17304, 13457, 15753, 13630, False)
(7521, 16470, 13089, 6182, False)
(16768, 18668, 18237, 19818, False)
(19379, 18738, 20308, 17471, False)
(18410, 15733, 16561, 17867, False)
(16238, 18548, 17952, 13572, False)
(4241, 2030, 0, 3254, False)
(19964, 16694, 14496, 20001, False)
(16583, 19143, 18223, 18640, False)
(6854, 10564, 10189, 6320, False)
(15299, 18185, 17921, 17532, False)
(19249, 15495, 12884, 14967, False)
(6883, 6497, 6522, 5532, False)
(7462, 18500, 19657, 13032, False)
(10002, 16886, 17487, 18958, False)
(4904, 7106, 11273, 6657, False)
(11239, 11667, 10492, 10299, False)
(20272, 13414, 19946, 17078, False)
(7638, 10569, 15566, 14037, False)
(9229, 12250, 14593, 13642, False)
(9371, 0, 11807, 17696, False)
(17217, 19212, 18525, 19748, False)
(7454, 12221, 21391, 11131, False)
(17060, 12077, 17247, 17521, False)
(18843, 18835, 18446, 17132, False)
(14200, 6448, 7192, 8981, False)
(6917, 1853, 1649, 0, False)
(3165, 4031, 3337, 7524, False)
(16584, 18335, 17793, 17568, False)
(3774, 6605, 15815, 7928, False)
(2460, 1286, 12385, 2424, False)
(12130, 12087, 12407, 12144, False)
(18555, 19340, 16902, 17781, False)
(19128, 17269, 13053, 19118, False)
(13895, 13524, 13088, 10163, False)
(16564, 13146, 16616, 17718, False)
(21736, 22382, 19850, 17586, False)
(20016, 17297, 13920, 12182, False)
(7783, 16635, 18200, 20381, False)
(15480, 15506, 15306, 14787, False)
(11826, 12262, 19669, 16705, False)
(20341, 18546, 11209, 10739, False)
(23094, 22959, 15128, 20540, False)
(17440, 16666, 17344, 19481, False)
(16697, 17603, 18168, 12499, False)
(16916, 17798, 17538, 17269, False)
(7794, 11557, 17994, 11633, False)
(2571, 11342, 2485, 1359, False)
(14195, 16300, 13566, 13635, False)
(12213, 12023, 13030, 13112, False)
(18205, 7533, 6246, 14225, False)
(19409, 15910, 12962, 13825, False)
(19456, 18817, 13181, 18598, False)
(20345, 20463, 19819, 19780, False)
(15806, 16591, 18774, 21027, False)
(18879, 12127, 19634, 17457, False)
(14508, 21810, 15758, 9920, False)
